"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Info"
"552","13.739283","192.168.88.128","192.168.88.1","TPKT","947","128","3389","33611","Continuation"
"553","13.739376","192.168.88.128","192.168.88.1","TPKT","763","128","3389","33611","Continuation"
"554","13.739565","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8894 Ack=132705 Win=131328 Len=0"
"555","13.742949","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=132705 Ack=8894 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"556","13.742962","192.168.88.128","192.168.88.1","TPKT","743","128","3389","33611","Continuation"
"557","13.743060","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8894 Ack=134854 Win=131328 Len=0"
"558","13.837864","192.168.88.1","192.168.88.128","TPKT","795","128","33611","3389","Continuation"
"559","13.838173","192.168.88.128","192.168.88.1","TPKT","91","128","3389","33611","Continuation"
"560","13.852094","192.168.88.128","192.168.88.1","TPKT","155","128","3389","33611","Continuation"
"561","13.852217","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=9635 Ack=134992 Win=131072 Len=0"
"562","14.073877","192.168.88.1","192.168.88.128","TPKT","523","128","33611","3389","Continuation"
"563","14.268298","192.168.88.1","192.168.88.128","RDP","123","128","33611","3389","RDP PDU Type: Shutdown Request"
"564","14.268531","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [ACK] Seq=134992 Ack=10173 Win=64256 Len=0"
"565","14.268598","192.168.88.128","192.168.88.1","TCP","54","128","3389","33611","3389  >  33611 [RST, ACK] Seq=134992 Ack=10173 Win=0 Len=0"
"566","18.594368","192.168.88.129","192.168.88.1","TCP","60","64","8888","31705","8888  >  31705 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=2"
